AR_I_(1),AR_I_(2),AR_I_(3),AR_I_(4),mu_(I),loglik_I,logpost_I,MA_I,measerr_scale_I,sigma_I,VAR_I,L_5100,L_3000,L_UV,L_H_beta,MG_II,0II_5007,OIII_4959
3.14917419028,4.25943293439,13.4542737326,0.0348366508995,19.4094346029,133.232825294,133.232825294,4.78117825759e-46,1.13806407125,0.0988809348774,0.0114919625001,44.69916,44.65749,2.81e43,43.46676,42.96205,42.07596,41.86849
0.957337082511,1.2659503864,0.0446347205409,0.000231106042606,19.7162981788,105.613103809,105.613103809,3.57502507364e-13,1.37160966651,0.000257289978753,0.011641760222,44.88584,45.15750,2.01e45,42.78628,43.15557,42.64170,42.36900
0.427887289802,0.23082063085,0.00295290371559,1.05040678325e-05,20.0585897697,119.352667488,119.352667488,7.18637415011e-49,0.981415400281,4.45445023901e-05,0.0277657178058,44.43886,44.86974,8.19e45,43.07690,42.93223,42.35470,42.20851
1.22774271389,1.08637192389,0.135862537107,0.000411435596861,19.8297400132,105.764053269,105.764053269,1.29400060577e-41,1.0246171503,0.00142644124368,0.0177236513124,44.10607,45.20451,1.66e44,42.46310,43.45330,41.79072,41.59024
2.40871800881,4.21856397584,3.40640995241,0.012004931579,18.5183571486,137.818424572,137.818424572,4.03077296096e-15,0.968373406051,0.0305414592448,0.0108169797322,44.28278,44.41496,7.28e44,42.56917,42.80388,42.43821,42.14885
1.38714291325,1.48022007361,0.180102181588,0.000473629559401,19.6902600118,127.747533166,127.747533166,1.85934609405e-39,1.32811840799,0.0015968869065,0.0136209388323,45.03406,44.07756,1.18e45,42.51944,42.61017,41.49444,41.85274
1.46119948739,3.0233556767,2.79913819778,0.0106190809441,19.5795542663,94.4952133031,94.4952133031,3.25341446039e-13,1.229618093,0.0316973591063,0.0150321792337,44.28599,44.46839,1.78e44,42.79810,42.98336,41.62131,41.22986
0.592198666553,0.31287661021,0.00513706065543,1.6110506284e-05,18.6762014892,163.973034104,163.973034104,4.93726346448e-41,1.28735907722,4.91167123712e-05,0.0130962068864,44.51935,44.94597,1.57e45,42.05927,43.26494,42.24820,42.19560
0.660131958812,0.186868802344,0.00177941949911,3.52053358002e-06,20.0895571902,107.659455238,107.659455238,2.39672496766e-40,0.997682223615,2.75298370918e-05,0.0610850361676,44.25256,44.97579,2.07e45,43.25239,43.38464,42.40217,41.26026
0.456238065352,0.273018835877,0.00702788223636,5.488193225e-05,19.6233989531,106.402032356,106.402032356,2.45752000571e-19,1.29720771874,4.29713007715e-05,0.00764368616774,44.13888,45.31695,1.48e45,42.20292,42.59487,41.99311,41.90872
0.80803831312,0.247042607266,0.00261398536051,5.488193225e-05,17.2658029671,191.654030711,191.654030711,1.29591929525e-48,1.00573558227,2.2014169838e-05,0.0155925022691,44.97359,44.42739,1.12e45,44.17511,42.63465,41.82681,41.46316
0.202854976541,0.0966774574473,0.000957393485628,5.59352792176e-06,19.8330995964,122.684015571,122.684015571,4.36945030639e-23,1.12690159146,1.16358970183e-05,0.0155261276621,44.90593,44.67777,9.34e44,42.71012,42.81970,42.10764,42.01054
0.273175003956,1.37807846987,0.109390476173,4.49768381348e-06,19.9291223419,79.6808134385,79.6808134385,1.69448196494e+23,1.09473861417,2.72665318295e-25,0.00923014426422,45.67979,44.66881,6.98e44,42.68983,42.33877,42.00149,41.62996
0.644540998357,0.775541129989,0.0290623505838,0.00117312419484,19.5207734312,113.158142093,113.158142093,4.11228689182e-29,1.44165846899,0.000452389792835,0.0167304683153,44.45743,43.97203,4.11e44,42.50119,43.42820,41.47306,41.89955
0.809500576926,0.665576708251,0.0255059205936,0.000168512477776,19.7336626428,124.083039063,124.083039063,6.36283432219e-52,0.985915794672,0.000316797653741,0.0155096675574,44.54183,45.32038,4.19e45,42.85803,42.99291,42.42153,41.72696
0.0829938645806,4.32758673095,0.0735634319379,0.000136925406421,19.7576207253,103.324195767,103.324195767,2.97137781339e+24,1.12989940845,1.75140147391e-26,0.0120823982937,44.59501,44.90722,2.81e44,43.04988,43.95267,42.32945,41.63567
0.967876399668,0.69547297396,0.0219824117366,0.000594844164186,19.9860260562,93.0814581203,93.0814581203,2.18282609819e-06,1.11131138065,5.22103500543e-05,0.0113781742751,44.69004,46.03777,2.93e45,42.98457,43.00252,41.22119,41.03894
2.19022241904,2.57614409083,5.4273506393,0.000156965669754,17.7979081849,141.672809217,142.991843459,2.09067054393e-19,1.16185783528,0.0321375539925,0.00759053778702,44.78482,44.68607,8.02e44,42.53414,42.81552,41.89582,41.86565
0.903152814565,3.81836309958,0.32676077041,0.0135224387521,19.613290871,119.52573807,119.52573807,1.39613002534e-26,1.21852846141,0.0048606472337,0.0276025115539,45.22008,44.85840,7.05e44,42.60624,42.91650,41.85748,41.63610
1.25657357363,1.47863373118,0.127472140952,0.00137171356106,19.6472874559,127.089446451,127.089446451,8.14623319898e-27,1.12679912579,0.000756022367237,0.00672875535898,44.67030,44.66664,5.36e44,42.71966,42.88055,42.92163,40.86044
0.115222432877,3.11313587594,0.105022985408,0.000565149544529,19.5246461581,114.236083137,114.236083137,5.19851685368e+40,1.0546270742,6.58108360348e-43,0.00812148866592,44.23784,44.89960,1.91e45,42.34346,43.17620,42.36641,41.51476
