AR_U_(1),AR_U_(2),AR_U_(3),AR_U_(4),mu(U),loglik_U,Logpost_U,MA_U,measerr_scale_U,SIGMA_U,var_U,L_5100,L_3000,L_UV,L_H_beta,MG_II,0II_5007,OIII_4959
0.499069519912,2.01600959491,0.29695403615,1.91748893039e-05,20.2609005356,57.5721459676,57.5721459676,1.29821812353e-19,0.985304909456,0.00862490121859,0.09478591388,44.44258,44.95125,4.69e44,42.33134,43.10245,41.57529,42.26538
0.747918536545,0.225192700082,0.00439404365562,0.0012450227428,19.3766305098,97.6116705402,97.6116705402,2.48815169658e-18,0.971688642531,4.82090642851e-05,0.0193727214212,44.48394,44.86517,6.73e44,42.64806,42.22104,"42.74552

",42.12025
0.180045860259,0.472437330133,0.0183349756777,4.066257518e-05,20.275388223,0.0193727214212,89.4879044422,9.12386270963e-17,1.06001499442,0.000454056772407,0.0815324483085,45.03598,44.04390,1.19e44,43.01677,42.48675,41.89148,41.94719
0.776514506509,,0.0829755618639,7.63524542587e-05,18.3875628042,89.4879044422,230.115877161,2.30605797456e-29,1.28501627548,2.06244696528e-11,0.0113917702392,44.61065,44.63855,8.45e44,42.68640,42.92635,42.35133,41.81223
0.94200107946,0.109112530726,0.000844709499701,0.00229705211993,19.5062025367,230.115877161,109.463109626,6218920773.99,1.24538954925,1.56828961992e-05,0.0885346782132,44.70652,44.54728,2.03e45,43.10906,42.99379,42.24738,41.59778
0.759410813957,0.533826592419,0.015796029068,1.60119750826e-06,20.1862833187,109.463109626,62.443745479,3.14269243989e-32,1.17250356879,0.000250908942762,0.043876529931,44.83296,44.77257,2.26e44,42.94242,43.10417,42.12112,40.75320
0.965094325663,3.39109813584,0.545577668912,0.000735559135465,19.8911140277,62.443745479,77.6907944494,4.58965525279e-41,1.22476546025,0.0179894290283,0.177188481197,44.32271,45.09934,9.33e44,42.95855,43.11582,41.32674,41.60521
0.45692909476,0.936754908439,0.0307967517698,0.00171482430865,19.0267358289,77.6907944494,95.3666599217,4.58965525279e-41,1.2038436331,0.000488940037315,0.0290804408695,44.84746,45.06645,1.98e45,42.99467,43.09889,42.10446,41.95696
0.982687062668,0.914929903525,0.0405627390814,0.0307967517698,20.7484549102,95.3666599217,52.9529492346,6.24661297133e-23,0.958807714702,0.000850945161441,0.0594673136166,44.66365,44.86206,4.85e45,42.96763,43.71762,42.44759,41.90367
0.829508118395,0.189938620992,0.00330992232625,0.000168137100964,20.6707391732,52.9529492346,50.845828775,3.08710390419e-59,1.0978766549,0.00010625633611,0.105228323682,44.76287,45.78051,2.94e44,42.07823,43.36264,42.41232,41.83543
1.17295705266,1.17552518116,0.0715883278276,2.46241805147e-05,20.3430913201,50.845828775,43.5808383886,9.58451814744e-25,1.06112741519,0.00314409075363,0.266259757099,45.10199,44.68850,3.45e44,42.26986,43.46540,42.42352,42.34942
0.723421192376,0.864374154428,0.0292390197853,0.000240985883796,19.6793593199,43.5808383886,105.317998489,9.12386270963e-17,1.16919265053,0.000392595909408,0.0324871916083,44.64622,45.12138,7.25e44,42.46464,43.07342,42.75009,42.26263
0.651978901778,1.51233143734,0.0728534337308,7.93267710026e-05,20.6712046399,105.317998489,44.0422969367,7.63524542587e-05,1.14021268338,0.00152913270517,0.0137406197815,44.87745,44.82848,1.59e45,42.82392,43.31099,42.49940,41.70028
0.568949301018,0.495328645544,0.0203254514756,0.000341378090432,20.1112934436,109.463109626,77.1441873104,1.12194890767e-47,1.15362955373,0.000151066218166,0.0232045160552,44.09679,45.09556,3.34e45,42.88789,42.89897,41.63015,41.54967
0.940189421664,0.421703240413,0.00962897278049,8.17330377449e-05,19.0344730986,62.443745479,99.2708722986,6.52278502496e-30,1.01981145928,0.000130086973338,0.0114533721929,44.27269,44.48811,1.19e45,42.22354,43.47677,42.17727,42.27398
0.428448353031,0.256531765324,0.00600205501238,3.35380282119e-05,19.9517675482,77.6907944494,88.910094016,2.5941736346e-30,1.21811266197,4.53456531278e-18,0.0249534897401,44.44430,45.38660,1.52e44,42.74993,43.09807,42.71115,41.72772
1.25329980117,1.59761525873,0.119168249957,7.04606792359e-05,19.8256315473,95.3666599217,163.598557455,1.44101087233e-24,1.04228300743,0.00187944261981,0.0532835574372,44.93558,44.78246,9.22e45,42.63238,43.30349,42.28624,42.22803
0.728006028827,0.0897329060257,0.000843767103547,0.000602378443124,20.7854785597,52.9529492346,58.1301438016,2.43647337016e+14,0.983772885126,1.53245419866e-05,0.0763952878966,44.09816,44.95779,1.47e45,43.42872,43.27955,42.75240,41.29200
0.314362608185,1.8141092605,0.227727282641,2.87489968547e-06,20.1378532577,50.845828775,65.8130403382,9.10284642556e-31,0.861551541793,0.00658842679,0.0310185397494,44.33125,44.90453,2.43e44,43.11371,43.02225,41.54856,41.82570
0.759760874964,0.884513363004,0.0345123602155,0.00113499639738,21.4120264946,43.5808383886,26.8886038743,9.52431788618e-24,1.03613269198,0.000448488695549,0.0519826182455,44.44104,45.34227,3.99e45,43.12829,43.17504,42.34606,41.51603
0.585899221309,0.0877676085772,0.00187569237539,0.00033084185645,20.405330802,105.317998489,50.6859008151,5.43491846446e-30,0.929713148421,1.38651909624,0.0262401409862,44.33125,45.01199,1.34e46,42.77936,42.10240,42.01922,42.73611
0.599250204948,0.349549300451,0.0116080284503,1.61940738924e-05,20.539384037,44.0422969367,74.5014105969,9.18155141158e-24,1.13013650642,0.000163852069018,0.0971406314701,44.44104,44.20388,2.24e44,43.46437,42.55260,43.19707,41.45944
0.67807451047,0.106267496123,0.000869732082687,7.58345451138e-05,20.1617655797,77.1441873104,57.0229220095,6.23995735192e-25,1.33872566972,1.74110607457e-05,0.04524613569,44.88637,44.42333,1.83e45,42.66776,43.10894,42.01806,41.37077
0.904523875991,0.297730458193,0.00755457303227,1.73936709085e-06,20.6505341669,99.2708722986,54.7987174165,3.51702326359e-14,0.94659681911,0.000160899957324,0.0266275870507,44.30239,44.70367,1.83e45,43.06504,43.42597,41.72686,41.47399
0.671128680236,0.225297292588,0.00965530694592,3.81037493617e-05,20.0309024795,88.910094016,84.1315964154,1.05557106032e-34,0.988480129195,7.46301730976e-05,0.173716175013,44.22117,45.16175,1.57e45,42.62014,42.34814,41.23371,41.72148
 0.606741296921,0.741172868027,0.0329948809423,6.40234047397e-05,20.1974299326,163.598557455,59.4847603185,4.15226034299e-19,0.88642083065,0.001258294186,0.0688205606614,44.76188,44.19785,3.47e45,42.65596,42.67153,41.78927,41.44395
1.1148622729,0.269529966619,0.00543741803816,0.000133676572719,20.3048784071,58.1301438016,78.6665710034,2.91385864268e-10,0.946382929748,0.000128878896255,0.0621928809536,45.09383,44.47436,4.96e44,42.77973,43.02249,42.62721,42.11013
0.58510152793,0.90608870096,0.0576641289373,1.92112707404e-05,20.7992287944,65.8130403382,49.8455203669,3.05217323027e-38,1.12602771111,0.00213442930034,0.0206362538466,44.44021,44.48945,2.89e44,43.13841,42.99758,41.27474,41.75123
0.577944890931,1.23667345308,0.291021317366,0.0011743561204,18.9945851067,26.8886038743,87.5933725645,3.95165845583e-37,1.03209112604,0.00439474030845,0.122797494941,44.54921,45.16544,1.76e45,43.29014,42.79588,41.97106,41.68625
0.724813570502,0.259238428962,0.00460051113297,0.00163663105992,20.4560295647,50.6859008151,52.6311674054,9.56527290871e-34,1.16088088344,0.000130902008751,0.0281197042149,44.65970,44.73836,1.18e45,42.56854,42.95531,42.12706,42.28107
0.607668559247,0.380197135416,0.0109015554621,1.3979642068e-05,18.6949645811,74.5014105969,107.43310055,1.38558050353e-17,0.993321362964,0.000144920820451,0.0211819087236,44.79900,44.70017,1.82e44,42.33321,42.97747,42.08910,40.65519
0.470267530599,0.393662105617,0.0103700249089,3.17700876526e-05,21.2188647593,57.0229220095,44.0774247414,1.72428832716e-29,1.04374618299,0.000138178932672,0.0420169433011,44.18964,44.99169,5.56e44,42.37821,43.37527,,41.50676
,0.683897270303,0.0317023803952,5.28693602427e-05,20.5041498425,54.7987174165,67.5957562621,8.71162286404e-21,1.08258722718,0.000846385707196,0.0193049070504,44.25669,45.37277,9.08e44,41.91246,43.20201,,41.59405
,0.34612281467,0.00810872115297,0.000258323064707,19.8143565725,84.1315964154,87.2277143907,1.37396051599e-53,,0.000132672469016,,44.35819,44.99354,5.44e44,42.10484,42.73059,,41.85345
,,,6.75174839011e-05,,59.4847603185,,3.70446193793e-20,,,,44.91202,44.65862,8.59e44,42.66324,43.06928,,
,,,,,78.6665710034,,4.605639852e-50,,,,45.05713,44.56841,5.84e44,42.58026,42.78089,,
,,,,,49.8455203669,,,,,,44.56043,44.65633,2.07e45,42.28675,42.88707,,
,,,,,87.5933725645,,,,,,44.78145,44.59963,1.41e45,42.41024,43.05763,,
,,,,,52.6311674054,,,,,,44.77507,44.73006,3.38e44,42.71884,42.56775,,
,,,,,107.43310055,,,,,,44.36424,44.47789,9.04e44,42.63816,42.90808,,
,,,,,44.0774247414,,,,,,44.17580,45.01247,1.32e43,42.27794,42.80545,,
,,,,,67.5957562621,,,,,,44.40151,44.55196,2.89e44,42.67026,43.32544,,
,,,,,,,,,,,44.20654,44.98618,6.62e44,42.11144,42.78329,,
,,,,,,,,,,,44.59746,45.06799,4.59e44,,42.81910,,
,,,,,,,,,,,44.17015,44.86777,2.73e44,,43.24706,,
,,,,,,,,,,,44.31297,44.71317,1.01e45,,43.23054,,
,,,,,,,,,,,44.52867,44.93590,2.20e45,,42.79880,,
,,,,,,,,,,,44.68251,44.57434,4.22e44,,43.06437,,
,,,,,,,,,,,,44.45962,5.85e43,,42.75987,,
,,,,,,,,,,,,45.73744,5.17e44,,42.79383,,
,,,,,,,,,,,,44.28572,3.41e45,,43.66837,,
,,,,,,,,,,,,0.01334,1.07e45,,42.68648,,
,,,,,,,,,,,,44.39641,1.48e45,,42.38523,,
,,,,,,,,,,,,44.43794,3.18e44,,42.91559,,
,,,,,,,,,,,,44.40271,8.92e44,,43.06190,,
,,,,,,,,,,,,44.66232,3.46e44,,,,
,,,,,,,,,,,,,9.01e44,,,,
,,,,,,,,,,,,,6.52e44,,,,
,,,,,,,,,,,,,1.02e45,,,,
,,,,,,,,,,,,,3.11e44,,,,
